id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,image_hyperlinks,phyenotype (metamorphosis stage),tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_subphylum_name,taxon_species_name,taxon_subspecies_name
58506,10/1/2010,10/1/2010,,Eastern Time (US & Canada),5245,kent_miller,2012-03-17 22:57:24 UTC,2018-08-13 23:58:54 UTC,research,CC-BY,http://www.inaturalist.org/observations/58506,https://static.inaturalist.org/photos/91074/medium.JPG,https://static.inaturalist.org/photos/91074/medium.JPG,butterfly,,,1,0,FALSE,,Walborn Reservoir,40.9771265,-81.1808181,1638,,,FALSE,,,Ohio,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
59696,12/18/2010,12/18/2010,,Eastern Time (US & Canada),5245,kent_miller,2012-03-24 14:09:09 UTC,2020-02-06 05:07:27 UTC,research,CC-BY,http://www.inaturalist.org/observations/59696,https://static.inaturalist.org/photos/92626/medium.JPG,https://static.inaturalist.org/photos/92626/medium.JPG,butterfly,,,2,0,FALSE,,"Santa Cruz de la Sierra, Bolivia",-17.78879,-63.197418,19878,,,FALSE,,,Santa Cruz,Southern Monarch,Danaus erippus,South American Monarch,Insecta,126299,Hexapoda,Danaus erippus,
85603,5/31/2012,5/31/2012,,Eastern Time (US & Canada),5245,kent_miller,2012-06-01 12:53:39 UTC,2019-11-10 17:45:29 UTC,research,CC-BY,http://www.inaturalist.org/observations/85603,https://static.inaturalist.org/photos/125316/medium.JPG,https://static.inaturalist.org/photos/125316/medium.JPG,butterfly,,,2,0,FALSE,,Springfield Bog,41.01133562,-81.39541257,,,,FALSE,,,Ohio,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
318380,6/27/2013,6/27/2013,,Eastern Time (US & Canada),5245,kent_miller,2013-07-02 13:45:24 UTC,2019-08-27 18:31:33 UTC,research,CC-BY,http://www.inaturalist.org/observations/318380,https://static.inaturalist.org/photos/395697/medium.JPG?1372772728,https://static.inaturalist.org/photos/395697/medium.JPG?1372772728,butterfly,,,1,0,FALSE,,Indian Key State Park,24.878261,-80.677071,1968,,,FALSE,,,Florida,Queen Butterfly,Danaus gilippus,Queen,Insecta,51743,Hexapoda,Danaus gilippus,
406353,9/23/2013,9/23/2013,,Monterrey,21332,oscar_almeda,2013-09-24 03:30:13 UTC,2016-07-05 23:01:42 UTC,research,CC-BY-SA,http://conabio.inaturalist.org/observations/406353,https://static.inaturalist.org/photos/508557/medium.JPG?1379993421,https://static.inaturalist.org/photos/508557/medium.JPG?1379993421,caterpillar,"mariposa, monarca, danaus, plexippus, UANL, migracion",,3,0,FALSE,,"Nuevo León, MX",25.73774238,-100.3669779,14,obscured,,TRUE,,,Nuevo León,Danaus plexippus,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
416233,10/2/2013,10/2/2013,,Monterrey,21332,oscar_almeda,2013-10-03 03:53:08 UTC,2016-07-05 23:04:11 UTC,research,CC-BY-SA,http://conabio.inaturalist.org/observations/416233,https://static.inaturalist.org/photos/523879/medium.JPG?1380772393,https://static.inaturalist.org/photos/523879/medium.JPG?1380772393,caterpillar,"mariposa, monarca, larva, oruga",,1,0,FALSE,,"Nuevo León, MX",25.70027506,-100.2908438,7,obscured,,TRUE,,,Nuevo León,Danaus plexippus,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
513346,Mon Jan 27 2014 12:58:57 GMT-0800 (PST),1/27/2014,2014-01-27 20:58:57 UTC,Pacific Time (US & Canada),28796,msmith218,2014-01-27 22:32:29 UTC,2019-08-01 15:07:19 UTC,research,CC-BY-ND,http://www.inaturalist.org/observations/513346,https://static.inaturalist.org/photos/653712/medium.jpg?1390862006,https://static.inaturalist.org/photos/653712/medium.jpg?1390862006,butterfly,,,2,0,FALSE,3,"Exposition Park, Los Angeles, CA, US",34.017446,-118.288343,65,,,FALSE,,,California,Danaus plexippis,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
1114949,11/19/2014,11/19/2014,,Eastern Time (US & Canada),5245,kent_miller,2014-12-06 13:30:52 UTC,2014-12-08 02:47:31 UTC,research,CC-BY,http://www.inaturalist.org/observations/1114949,https://static.inaturalist.org/photos/1401155/medium.JPG?1417872656,https://static.inaturalist.org/photos/1401155/medium.JPG?1417872656,butterfly,,,2,0,FALSE,,"Santa Cruz, Bolivia",-17.833278,-63.196328,126,,,FALSE,,,Santa Cruz,southern monarch,Danaus erippus,South American Monarch,Insecta,126299,Hexapoda,Danaus erippus,
1705819,11/10/2013 9:27,11/10/2013,2013-11-10 14:27:48 UTC,Eastern Time (US & Canada),112822,billmiky,2015-06-29 17:42:35 UTC,2020-03-23 02:47:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1705819,https://static.inaturalist.org/photos/2066210/medium.jpg?1444470582,https://static.inaturalist.org/photos/2066210/medium.jpg?1444470582,butterfly,,,2,0,FALSE,,"savannas preserve state park, fl",27.334273,-80.285337,12484,,,FALSE,,google,Florida,Queen Butterfly,Danaus gilippus,Queen,Insecta,51743,Hexapoda,Danaus gilippus,
2947163,Sat Apr 16 2016 09:51:03 GMT-0700 (PDT),4/16/2016,2016-04-16 16:51:03 UTC,Pacific Time (US & Canada),3631,ajzellmer,2016-04-16 16:54:30 UTC,2020-09-21 16:37:24 UTC,research,CC-BY-ND,http://www.inaturalist.org/observations/2947163,https://static.inaturalist.org/photos/3379896/medium.jpg?1460825685,https://static.inaturalist.org/photos/3379896/medium.jpg?1460825685,butterfly,,,1,0,FALSE,3,"1551 Campus Rd, Los Angeles, CA, US",34.12500833,-118.2133867,,,,FALSE,,,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
4224855,2016-09-28 1:23:35 PM CDT,9/28/2016,2016-09-28 18:23:35 UTC,Central Time (US & Canada),292021,bugbear,2016-09-28 18:24:12 UTC,2019-12-06 21:53:50 UTC,research,CC-BY-ND,http://www.inaturalist.org/observations/4224855,https://static.inaturalist.org/photos/5044400/medium.jpeg?1475087063,https://static.inaturalist.org/photos/5044400/medium.jpeg?1475087063,caterpillar,,,2,0,FALSE,2,"527 Volanta Avenue Fairhope, AL 36532",30.53918588,-87.89266522,10,,,FALSE,,,Alabama,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
4575625,Sun Nov 06 2016 11:49:01 GMT-0600 (CST),11/6/2016,2016-11-06 17:49:01 UTC,Central Time (US & Canada),221676,kristin22,2016-11-15 14:29:52 UTC,2016-11-16 04:36:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4575625,https://static.inaturalist.org/photos/5524897/medium.jpg?1479220207,https://static.inaturalist.org/photos/5524897/medium.jpg?1479220207,butterfly,,,3,0,FALSE,3,"Texas, US",32.70598147,-96.96492314,,obscured,,TRUE,,,Texas,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
4859067,Wed Dec 28 2016 13:00:58 GMT-0800 (PST),12/28/2016,2016-12-28 21:00:58 UTC,Pacific Time (US & Canada),3631,ajzellmer,2016-12-28 22:48:57 UTC,2020-09-26 23:15:06 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/4859067,https://static.inaturalist.org/photos/5900161/medium.jpg?1482965368,https://static.inaturalist.org/photos/5900161/medium.jpg?1482965368,butterfly,,,2,0,FALSE,3,"92264, Palm Springs, CA, US",33.761895,-116.5512783,,,,FALSE,,,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
5393658,Sat Mar 18 2017 15:04:54 GMT-0700 (PDT),3/18/2017,2017-03-18 22:04:54 UTC,Pacific Time (US & Canada),3631,ajzellmer,2017-03-19 02:24:13 UTC,2020-09-18 21:12:36 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/5393658,https://static.inaturalist.org/photos/6626306/medium.jpg?1489890279,https://static.inaturalist.org/photos/6626306/medium.jpg?1489890279,butterfly,,,3,0,FALSE,3,"1551 Campus Rd, Los Angeles, CA, US",34.125225,-118.2133117,,,,FALSE,,,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
5448001,Fri Mar 24 2017 18:28:39 GMT-0700 (PDT),3/24/2017,2017-03-25 01:28:39 UTC,Pacific Time (US & Canada),3631,ajzellmer,2017-03-25 01:47:21 UTC,2020-09-18 18:21:10 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/5448001,https://static.inaturalist.org/photos/6705320/medium.jpg?1490406447,https://static.inaturalist.org/photos/6705320/medium.jpg?1490406447,caterpillar,,,3,0,FALSE,3,"1525–1599 N Avenue 47, Los Angeles, CA, US",34.1251195,-118.2132033,,,,FALSE,,,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
7349692,2017-08-02 11:54:24 AM EDT,8/2/2017,2017-08-02 15:54:24 UTC,Eastern Time (US & Canada),88665,jpage_cwf,2017-08-04 19:01:50 UTC,2018-04-16 23:36:39 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/7349692,https://static.inaturalist.org/photos/9527122/medium.jpeg?1501873324,https://static.inaturalist.org/photos/9527122/medium.jpeg?1501873324,butterfly,,Dead on the side of the road,3,0,FALSE,2,"Leeds and Grenville, CA-ON, CA",44.63769336,-75.86441527,7,,open,FALSE,,,,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
7375213,2017-01-29 12:18:47 PM GMT-03:00,1/29/2017,2017-01-29 09:18:47 UTC,Baghdad,565735,horacionomade,2017-08-06 15:12:24 UTC,2019-07-31 22:07:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7375213,https://static.inaturalist.org/photos/9568184/medium.jpeg?1502032351,https://static.inaturalist.org/photos/9568184/medium.jpeg?1502032351,butterfly,,Verano 2017,2,0,FALSE,2,"Diego de Carvajal 582, Hurlingham, Buenos Aires, Argentina",-34.6043305,-58.6314418,19,,,FALSE,,,,Southern Monarch,Danaus erippus,South American Monarch,Insecta,126299,Hexapoda,Danaus erippus,
7605519,2017/08/15 11:04 AM ART,8/15/2017,2017-08-15 14:04:00 UTC,Buenos Aires,565735,horacionomade,2017-08-22 17:03:30 UTC,2018-10-22 21:10:21 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/7605519,https://static.inaturalist.org/photos/9938878/medium.jpg?1503420892,https://static.inaturalist.org/photos/9938878/medium.jpg?1503420892,egg,,"Huevo de Danaus erippus, primera puesta del invierno-primavera 2017",1,0,FALSE,,"Hurlingham, Provincia de Buenos Aires, Argentina",-34.6042213,-58.63139391,15,,,FALSE,,,,Southern Monarch,Danaus erippus,South American Monarch,Insecta,126299,Hexapoda,Danaus erippus,
7739758,2017-09-01 11:13:47 AM PDT,9/1/2017,2017-09-01 18:13:47 UTC,Pacific Time (US & Canada),31080,barbararice,2017-09-01 18:14:17 UTC,2018-01-13 02:02:18 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/7739758,https://static.inaturalist.org/photos/10158158/medium.jpeg?1504289659,https://static.inaturalist.org/photos/10158158/medium.jpeg?1504289659,butterfly,,,2,0,FALSE,2,"40295 Foremast, Sea Ranch, CA 95497, USA",38.73834991,-123.4971848,,,,FALSE,gps,gps,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
8090057,2017-09-25 10:09:32 AM PDT,9/25/2017,2017-09-25 17:09:32 UTC,Pacific Time (US & Canada),31080,barbararice,2017-09-25 17:16:18 UTC,2018-01-12 05:32:07 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/8090057,https://static.inaturalist.org/photos/10728209/medium.jpeg?1506359841,https://static.inaturalist.org/photos/10728209/medium.jpeg?1506359841,butterfly,,"About 3 dozen, Nectaring on Arbutus undo.",2,0,FALSE,2,"Coast Hwy, Stewarts Point, CA 95480, USA",38.74281313,-123.4994049,2752,,,FALSE,gps,gps,California,Monarch,Danaus plexippus,Monarch,Insecta,48662,Hexapoda,Danaus plexippus,
